,createTime,id,isAd,desc,stickersOnItem,music.id,music.authorName,music.original,music.title,stats.commentCount,stats.diggCount,stats.playCount,stats.shareCount,video.duration,author.id,author.uniqueId,author.verified,authorStats.diggCount,authorStats.followerCount,authorStats.followingCount,authorStats.heart,authorStats.videoCount,term,alg_rank_by_topic,rank,caption,hashtags,Sentiment,WatchVideo
0,2023-07-15 02:54:09,7255873274637225224,False,🩰 ask and you shall receive 🩰 #ballet #balletcore #balletcoreaesthetic #balletcoreoutfit #balletcorefashion #corporategirlies #styleadvice #grwm #officestyle #stylist  Office style:  Balletcore, Office style:  Balletcore,7136056894392633346,LoES,False,Kawaii Aesthetic,144,31700,451600,381,126,6804788260334978054,marinatingmari,False,24300,90100,587,2000000,224,balletcore outfits,1,08:58:52.504120,🩰 ask and you shall receive 🩰 #ballet #balletcore #balletcoreaesthetic #balletcoreoutfit #balletcorefashion #corporategirlies #styleadvice #grwm #officestyle #stylist ,"['#ballet', '#balletcore', '#balletcoreaesthetic', '#balletcoreoutfit', '#balletcorefashion', '#corporategirlies', '#styleadvice', '#grwm', '#officestyle', '#stylist']",neutral,https://www.tiktok.com/@marinatingmari/video/7255873274637225224
1,2024-08-14 09:37:18,7402926883001748768,False,Wearing your favourite leotard makes all the difference ❤️♻️🩰  @Chloe wears The Haina leotard and sustainable ballet tights  #ballet #ballerina #balletcore #dancewear #balletdancer #dancer #balletstyle #balletfashion #ballettok #balletclass #balletcommunity #balletoutfit #balletclass  proof that what you wear to class matters….., proof that what you wear to class matters…..,7228098807601679109,.⋆୨୧⋆.,True,origineel geluid,197,68200,2600000,179,18,6822731561461466117,imperfectpointes,False,16800,17700,766,746200,1145,balletcore outfits,2,08:58:52.504120,Wearing your favourite leotard makes all the difference ❤️♻️🩰  @Chloe wears The Haina leotard and sustainable ballet tights  #ballet #ballerina #balletcore #dancewear #balletdancer #dancer #balletstyle #balletfashion #ballettok #balletclass #balletcommunity #balletoutfit #balletclass ,"['#ballet', '#ballerina', '#balletcore', '#dancewear', '#balletdancer', '#dancer', '#balletstyle', '#balletfashion', '#ballettok', '#balletclass', '#balletcommunity', '#balletoutfit', '#balletclass']",neutral,https://www.tiktok.com/@imperfectpointes/video/7402926883001748768
2,2023-01-27 18:25:39,7193399932827471109,False,style a ballerina core outfit with me (i just wanted to try this trend at least ONCE) #balletcore #balletcoreaesthetic #balletcoreoutfit #balletcorefashion #balletcoreoutfits #ballerinacore #revolveme @Revolve  style a ballet core inspired outfit with me style a ballet core outfit with me, style a ballet core inspired outfit with me style a ballet core outfit with me,7193399907643017989,han 🧚🏼‍♀️💫,True,original sound,59,17100,323800,68,43,6825242570031334405,styledbyhan,False,28200,150600,149,7700000,211,balletcore outfits,3,08:58:52.504120,style a ballerina core outfit with me (i just wanted to try this trend at least ONCE) #balletcore #balletcoreaesthetic #balletcoreoutfit #balletcorefashion #balletcoreoutfits #ballerinacore #revolveme @Revolve ,"['#balletcore', '#balletcoreaesthetic', '#balletcoreoutfit', '#balletcorefashion', '#balletcoreoutfits', '#ballerinacore', '#revolveme']",positive,https://www.tiktok.com/@styledbyhan/video/7193399932827471109
3,2026-02-11 09:52:30,7605543309276171527,False,little bo peep ootd do we like?🐑🎀 #styleinspo #fashion #outfit #balletcore #pink  love to wear outfits that other people don't see the vision for, love to wear outfits that other people don't see the vision for,7574526360091495175,lilacgirl,True,sonido original,68,29100,227400,671,17,6765730266511557637,pearlywurly,False,8966,26200,194,2400000,113,balletcore outfits,4,08:58:52.504120,little bo peep ootd do we like?🐑🎀 #styleinspo #fashion #outfit #balletcore #pink ,"['#styleinspo', '#fashion', '#outfit', '#balletcore', '#pink']",positive,https://www.tiktok.com/@pearlywurly/video/7605543309276171527
4,2024-10-26 19:11:53,7430164179509595434,False,Be warned. #balletcoreoutfit #ballettiktok #ballerinasoftiktok #professionaldancersoftiktok #ballettok #balletcore #lorax #balletclass ##fyp##professionalballerina##dancetok Y’all ain’t ready for when I show up to ballet class this Thursday in this, Y’all ain’t ready for when I show up to ballet class this Thursday in this,7415561228057398049,ꫂ ၴႅၴ,True,afilmbykirk,1480,408400,3100000,17600,11,7407976477197206571,nat.alie.dances,False,31000,74200,208,11500000,419,balletcore outfits,5,08:58:52.504120,Be warned. #balletcoreoutfit #ballettiktok #ballerinasoftiktok #professionaldancersoftiktok #ballettok #balletcore #lorax #balletclass ##fyp##professionalballerina##dancetok,"['#balletcoreoutfit', '#ballettiktok', '#ballerinasoftiktok', '#professionaldancersoftiktok', '#ballettok', '#balletcore', '#lorax', '#balletclass', '#fyp', '#professionalballerina', '#dancetok']",neutral,https://www.tiktok.com/@nat.alie.dances/video/7430164179509595434
5,2025-08-04 19:44:35,7534818575572356383,False,I get a lot of my leos from Poshmark 😉 @Eleve Dancewear  @xiaoxiaodesigns @BodileBallet  @RubiaWear  @R-Class US  @Body Wrappers  @wearmoi  @HOKA  #dancewear #ballet #balletoutfit #ballerina #balletcore  put it in 2x speed there’s a lot ✨Dance Wear Favorites✨ Updated Dance Wear Favorites , put it in 2x speed there’s a lot ✨Dance Wear Favorites✨ Updated Dance Wear Favorites ,7031736065920600065,Miwako Izumikawa,False,Tea for Two (piano)(1131389),31,1811,31400,42,206,6687992189086172166,tutucarolyn,False,6368,37500,160,4300000,958,balletcore outfits,6,08:58:52.504120,I get a lot of my leos from Poshmark 😉 @Eleve Dancewear  @xiaoxiaodesigns @BodileBallet  @RubiaWear  @R-Class US  @Body Wrappers  @wearmoi  @HOKA  #dancewear #ballet #balletoutfit #ballerina #balletcore ,"['#dancewear', '#ballet', '#balletoutfit', '#ballerina', '#balletcore']",positive,https://www.tiktok.com/@tutucarolyn/video/7534818575572356383
6,2026-01-08 02:00:06,7592804619064036639,False,little fit check with @Wendy 🌟 #balletootd #fitcheck #ootd #balletoutfit #balletcore  ballet ootd, ballet ootd,6817665487665629186,moshimo sound design,False,Chopin Nocturne No. 2 Piano Mono,108,6071,112400,113,36,6531062718328230927,rubyyjosephine,False,55900,301900,448,16500000,662,balletcore outfits,7,08:58:52.504120,little fit check with @Wendy 🌟 #balletootd #fitcheck #ootd #balletoutfit #balletcore ,"['#balletootd', '#fitcheck', '#ootd', '#balletoutfit', '#balletcore']",positive,https://www.tiktok.com/@rubyyjosephine/video/7592804619064036639
7,2024-01-19 18:08:40,7325872804870507819,False,Replying to @lcareypatterson balletcore is just wearing all the clothes you already have but the wrong way #yesand ,,7325872979324947243,Laura • body friendly fitness,True,original sound,268,94000,1900000,115,24,6738575106840888325,lcgirard,False,23100,213500,412,9200000,2558,balletcore outfits,8,08:58:52.504120,Replying to @lcareypatterson balletcore is just wearing all the clothes you already have but the wrong way #yesand ,['#yesand'],negative,https://www.tiktok.com/@lcgirard/video/7325872804870507819
8,2024-06-10 18:03:12,7378936718986300718,False,Part 2 coming tmrw ☺️🩰 #balletcore #balletcoreaesthetic #balletcoreoutfit #balletcoremakeup #balletcoreoutfits #outfitinspo #fashiontiktok #fashiontrends #girlyfashion #girlyoutfit #styleinspo #styletips #styleadvice #trending #balletdancer #ballet ,,7148968311517087746,Tollan Kim,False,Lofi,6,716,23800,28,36,7198877592354030638,juliiannalee,False,427,57700,32,2200000,628,balletcore outfits,9,08:58:52.504120,Part 2 coming tmrw ☺️🩰 #balletcore #balletcoreaesthetic #balletcoreoutfit #balletcoremakeup #balletcoreoutfits #outfitinspo #fashiontiktok #fashiontrends #girlyfashion #girlyoutfit #styleinspo #styletips #styleadvice #trending #balletdancer #ballet ,"['#balletcore', '#balletcoreaesthetic', '#balletcoreoutfit', '#balletcoremakeup', '#balletcoreoutfits', '#outfitinspo', '#fashiontiktok', '#fashiontrends', '#girlyfashion', '#girlyoutfit', '#styleinspo', '#styletips', '#styleadvice', '#trending', '#balletdancer', '#ballet']",neutral,https://www.tiktok.com/@juliiannalee/video/7378936718986300718
9,2024-02-09 19:17:27,7333683298180369707,False,stying a ballet core outfit 🩰🎀 using the Sabrina one piece & Lorelei skirt in ballet pink from Julia X JVB #fashiondesigner #fashiondesign #balletcore  styling  my swimwear as an outfit  🎀, styling  my swimwear as an outfit  🎀,7333683474282416939,boringbb,True,original sound,188,70700,645000,195,12,6912196321282032646,boringbb,False,23,1100000,36,62700000,1854,balletcore outfits,10,08:58:52.504120,stying a ballet core outfit 🩰🎀 using the Sabrina one piece & Lorelei skirt in ballet pink from Julia X JVB #fashiondesigner #fashiondesign #balletcore ,"['#fashiondesigner', '#fashiondesign', '#balletcore']",neutral,https://www.tiktok.com/@boringbb/video/7333683298180369707
